Player,Team,Goals,Shots,Shots on target,Shots on target %,Shots per match,Shots on target per match,Goal per shot,Fouls scored,Penalties scored,Expected goals
Ao Tanaka,Leeds United,0,3,0,0.0,1.03,0.00,0.00,0,0,0.2
James Tarkowski,Everton,0,1,0,0.0,0.11,0.00,0.00,0,0,0.4
Marcus Tavernier,Bournemouth,2,14,5,35.7,1.86,0.67,0.14,2,0,1.0
Loum Tchaouna,Burnley,1,6,2,33.3,1.57,0.52,0.17,1,0,0.3
Jackson Tchatchoua,Wolves,0,1,0,0.0,0.23,0.00,0.00,0,0,0.3
Mathys Tel,Tottenham,1,4,1,25.0,1.51,0.38,0.25,0,0,0.2
Kenny Tete,Fulham,0,1,0,0.0,0.17,0.00,0.00,0,0,0.1
Thiago,Brentford,6,20,10,50.0,2.43,1.21,0.20,0,2,4.4
Malick Thiaw,Newcastle Utd,0,6,2,33.3,1.19,0.40,0.00,0,0,0.6
Youri Tielemans,Aston Villa,0,5,1,20.0,1.43,0.29,0.00,0,0,0.1
Jurriën Timber,Arsenal,2,9,5,55.6,1.15,0.64,0.22,0,0,1.8
Jean-Clair Todibo,West Ham,0,0,0,,0.00,0.00,,0,0,0.0
Sandro Tonali,Newcastle Utd,0,12,5,41.7,1.53,0.64,0.00,1,0,0.4
Pau Torres,Aston Villa,0,2,0,0.0,0.41,0.00,0.00,0,0,0.1
James Trafford,Manchester City,0,0,0,,0.00,0.00,,0,0,0.0
Adama Traoré,Fulham,0,3,0,0.0,1.16,0.00,0.00,0,0,0.1
Bertrand Traoré,Sunderland,0,5,3,60.0,2.09,1.26,0.00,0,0,0.3
Kieran Trippier,Newcastle Utd,0,0,0,,0.00,0.00,,0,0,0.0
Leandro Trossard,Arsenal,1,12,2,16.7,2.33,0.39,0.08,0,0,1.4
Adrien Truffert,Bournemouth,0,3,0,0.0,0.33,0.00,0.00,0,0,0.1
Axel Tuanzebe,Burnley,0,0,0,,0.00,0.00,,0,0,0.0
Stefanos Tzimas,Brighton,0,3,0,0.0,3.60,0.00,0.00,0,0,0.4
Christantus Uche,Crystal Palace,0,1,1,100.0,8.18,8.18,0.00,0,0,0.0
Destiny Udogie,Tottenham,0,1,0,0.0,0.30,0.00,0.00,0,0,0.0
Manuel Ugarte,Manchester Utd,0,2,0,0.0,0.63,0.00,0.00,0,0,0.0
Lesley Ugochukwu,Burnley,2,6,2,33.3,1.18,0.39,0.33,0,0,0.8
Enes Ünal,Bournemouth,0,0,0,,0.00,0.00,,0,0,0.0
Virgil van Dijk,Liverpool,0,4,2,50.0,0.44,0.22,0.00,0,0,0.4
Joël Veltman,Brighton,0,0,0,,0.00,0.00,,0,0,0.0
Micky van de Ven,Tottenham,3,7,3,42.9,0.79,0.34,0.43,0,0,1.6
Bart Verbruggen,Brighton,0,0,0,,0.00,0.00,,0,0,0.0
Guglielmo Vicario,Tottenham,0,0,0,,0.00,0.00,,0,0,0.0
Kyle Walker,Burnley,0,3,0,0.0,0.33,0.00,0.00,0,0,0.1
Kyle Walker-Peters,West Ham,0,3,1,33.3,0.60,0.20,0.00,0,0,0.1
Aaron Wan-Bissaka,West Ham,0,0,0,,0.00,0.00,,0,0,0.0
James Ward-Prowse,West Ham,0,2,0,0.0,0.44,0.00,0.00,1,0,0.1
Ollie Watkins,Aston Villa,1,14,3,21.4,1.77,0.38,0.07,0,0,1.7
Tom Watson,Brighton,0,1,1,100.0,2.81,2.81,0.00,0,0,0.0
Danny Welbeck,Brighton,5,11,6,54.5,1.81,0.99,0.45,1,0,3.2
Adam Wharton,Crystal Palace,0,5,0,0.0,0.71,0.00,0.00,0,0,0.2
Ben White,Arsenal,0,1,0,0.0,1.29,0.00,0.00,0,0,0.0
Mats Wieffer,Brighton,0,4,1,25.0,0.78,0.20,0.00,0,0,0.2
Neco Williams,Nott'ham Forest,1,10,4,40.0,1.11,0.44,0.10,0,0,0.7
Estêvão Willian,Chelsea,1,11,4,36.4,3.19,1.16,0.09,0,0,1.7
Joe Willock,Newcastle Utd,0,1,0,0.0,1.03,0.00,0.00,0,0,0.1
Callum Wilson,West Ham,1,7,5,71.4,2.64,1.88,0.14,0,0,1.2
Harry Wilson,Fulham,1,13,3,23.1,2.25,0.52,0.08,1,0,0.9
Ben Winterburn,Bournemouth,0,0,0,,0.00,0.00,,0,0,0.0
Florian Wirtz,Liverpool,0,10,3,30.0,1.52,0.46,0.00,0,0,1.2
Nick Woltemade,Newcastle Utd,4,12,3,25.0,2.26,0.57,0.25,0,1,3.0
Chris Wood,Nott'ham Forest,2,16,6,37.5,2.67,1.00,0.13,0,0,2.7
Joe Worrall,Burnley,0,0,0,,0.00,0.00,,0,0,0.0
Granit Xhaka,Sunderland,0,5,2,40.0,0.56,0.22,0.00,0,0,0.3
Yehor Yarmoliuk,Brentford,0,5,2,40.0,0.63,0.25,0.00,0,0,0.2
Ryan Yates,Nott'ham Forest,0,1,1,100.0,0.66,0.66,0.00,0,0,0.0
Leny Yoro,Manchester Utd,0,3,0,0.0,0.49,0.00,0.00,0,0,0.3
Oleksandr Zinchenko,Nott'ham Forest,0,3,1,33.3,1.07,0.36,0.00,0,0,0.0
Joshua Zirkzee,Manchester Utd,0,8,1,12.5,8.37,1.05,0.00,0,0,0.8
Martín Zubimendi,Arsenal,2,6,2,33.3,0.70,0.23,0.33,0,0,0.3
Martin Ødegaard,Arsenal,0,4,1,25.0,1.77,0.44,0.00,0,0,0.1
