Player,Team,Passes completed,Passes completed %,Assists,Expected assists,Key passes
Archie Gray,Tottenham,123,90.4,0,0.1,1
Jack Grealish,Everton,402,80.7,4,3.3,29
Brajan Gruda,Brighton,89,77.4,1,0.6,7
Ilia Gruev,Leeds United,165,91.7,0,0.2,2
Gabriel Gudmundsson,Leeds United,476,74.3,0,1.3,16
Marc Guéhi,Crystal Palace,664,85.0,2,1.2,9
Evann Guessand,Aston Villa,67,69.8,1,0.6,3
Luis Guilherme,West Ham,27,90.0,0,0.0,1
Bruno Guimarães,Newcastle Utd,639,84.2,2,1.5,19
Marc Guiu,Sunderland,3,60.0,0,0.0,0
Marc Guiu,Chelsea,17,68.0,1,0.3,3
Malo Gusto,Chelsea,487,84.0,2,0.7,10
Joško Gvardiol,Manchester City,667,88.6,1,0.6,3
Viktor Gyökeres,Arsenal,78,60.0,0,0.7,9
Erling Haaland,Manchester City,120,64.9,3,1.2,8
Lewis Hall,Newcastle Utd,273,78.4,1,0.7,3
Jack Harrison,Leeds United,97,70.8,0,0.2,2
Quilindschy Hartman,Burnley,464,68.7,4,1.5,15
Jorrel Hato,Chelsea,97,88.2,0,0.0,0
Kai Havertz,Arsenal,5,55.6,0,0.0,0
Ayden Heaven,Manchester Utd,92,91.1,1,0.1,2
Jan Paul van Hecke,Brighton,1042,86.3,1,0.6,4
Hwang Hee-chan,Wolves,105,72.9,0,0.3,3
Dean Henderson,Crystal Palace,341,60.4,0,0.1,1
Jordan Henderson,Brentford,574,77.3,3,1.2,13
Rico Henry,Brentford,89,60.5,0,0.1,1
Mads Hermansen,West Ham,104,66.2,0,0.0,0
Aaron Hickey,Brentford,159,81.1,0,0.1,0
James Hill,Bournemouth,100,65.4,0,0.2,0
Piero Hincapié,Arsenal,287,89.7,0,0.5,2
Jack Hinshelwood,Brighton,149,84.2,1,0.2,3
Ki-Jana Hoever,Wolves,113,67.3,0,0.3,3
Callum Hudson-Odoi,Nott'ham Forest,256,77.3,1,1.2,19
Will Hughes,Crystal Palace,158,76.0,0,0.7,7
Trai Hume,Sunderland,383,69.0,1,0.6,11
Bashir Humphreys,Burnley,2,100.0,0,0.0,0
Omari Hutchinson,Nott'ham Forest,137,67.5,2,1.6,13
Igor,West Ham,16,72.7,0,0.0,1
Tim Iroegbunam,Everton,135,82.3,1,0.1,1
